Comment,Designator,Footprint,LCSC, LCSC, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status, LCDC
"Crystal 144-1100 ","32.768","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm",""
"100n","C1,C5,C6,C14,C15","Capacitor_SMD:C_0805_2012Metric",""," C136621","","","","","","","","","",""
"20p","C11,C10","Capacitor_SMD:C_0805_2012Metric","","C1798","","","","","","","","","",""
"100nF","C13,C12,C9","Capacitor_SMD:C_0805_2012Metric","","C136621","","","","","","","","","",""
"1 nF","C16,C17","Capacitor_SMD:C_0805_2012Metric",""," C46653","","","","","","","","","",""
"680u","C18","Capacitor_SMD:C_Elec_10x10.2",""," C134782","","","","","","","","","",""
"220u","C19","Capacitor_SMD:C_Elec_8x6.2",""," C127327","","","","","","","","","",""
"10 u","C2,C4","Capacitor_SMD:C_0805_2012Metric","","C15850","","","","","","","","","",""
"220n","C20,C25","Capacitor_SMD:C_0805_2012Metric",""," C5378","","","","","","","","","",""
"1u","C24,C21,C22,C28,C29,C26,C27,C23","Capacitor_SMD:C_0805_2012Metric",""," C28323","","","","","","","","","",""
"10 n","C3","Capacitor_SMD:C_0805_2012Metric","","C1710","","","","","","","","","",""
"100p","C7,C8","Capacitor_SMD:C_0805_2012Metric",""
"LED","D1,D2","LED_SMD:LED_0603_1608Metric",""," C2286","","","","","","","","","",""
"MBRS540T3G","D3","Diode_SMD:D_SMC",""," C31849","","","","","","","","","",""
"Conn_01x02_Female","J1,J13","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"Conn_01x02","J14","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Conn_02x05_Odd_Even","J4","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"Conn_01x04_Female","J5,J6","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"1755736","J7,J12,J3,J8,J10,J9,J11,J2","Studienarbeit:PhoenixContact1755736",""
"33u","L1","Inductor_SMD:L_Wuerth_WE-PD-Typ-LS",""," C169375","","","","","","","","","",""
"VOM1271","Opto1,Opto2,Opto3,Opto4,Opto5,Opto6","Studienarbeit:VOM1271",""," C146286","","","","","","","","","",""
"IRF540NPBF","Q6,Q5,Q4,Q3,Q1,Q2","Package_TO_SOT_THT:TO-220-3_Vertical","","","Discrete Semiconductor Products","https://www.infineon.com/dgdl/irf540npbf.pdf?fileId=5546d462533600a4015355e39f0d19a1","/product-detail/en/infineon-technologies/IRF540NPBF/IRF540NPBF-ND/811869","MOSFET N-CH 100V 33A TO-220AB","IRF540NPBF-ND","Transistors - FETs, MOSFETs - Single","IRF540NPBF","Infineon Technologies","Active",""
"1 k","R1,R8","Resistor_SMD:R_0805_2012Metric","","C17513","","","","","","","","","",""
"Bruecke","R10","Resistor_SMD:R_0805_2012Metric",""
"100","R11,R2,R3,R4,R5,R6,R7","Resistor_SMD:R_0805_2012Metric",""," C17408","","","","","","","","","",""
"120","R12","Resistor_SMD:R_0805_2012Metric",""," C17437","","","","","","","","","",""
"33k 1%","R13,R23","Resistor_SMD:R_0805_2012Metric",""," C17633","","","","","","","","","",""
"1k 1%","R14,R24","Resistor_SMD:R_0805_2012Metric","","C17513","","","","","","","","","",""
"2k","R15,R25","Resistor_SMD:R_0805_2012Metric",""," C17604","","","","","","","","","",""
"2.49k 1%","R16,R17,R20,R19","Resistor_SMD:R_0805_2012Metric",""," C17408","","","","","","","","","",""
"10k","R18","Resistor_SMD:R_0805_2012Metric","","C17414","","","","","","","","","",""
"470","R21,R26","Resistor_SMD:R_0805_2012Metric",""," C17710","","","","","","","","","",""
"3k","R22,R27","Resistor_SMD:R_0805_2012Metric",""," C17661","","","","","","","","","",""
"10 k","R9","Resistor_SMD:R_0805_2012Metric",""," C17414","","","","","","","","","",""
"SW_Push","SW1","Button_Switch_SMD:SW_SPST_B3S-1000",""
"LD3985M33R_SOT23","U1","Package_TO_SOT_SMD:SOT-23-5",""," C46243","","","","","","","","","",""
"ADuM3190ARQZ","U10,U8","Studienarbeit:ADuM3190ARQZ",""
"STM32F103C8Tx","U2","Package_QFP:LQFP-48_7x7mm_P0.5mm",""," C8734","","","","","","","","","",""
"LM4040-2.5","U3","Package_TO_SOT_SMD:SOT-23",""," C131939","","","","","","","","","",""
"ACS712xLCTR-30A","U4,U5","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""," C9932","","","","","","","","","",""
"SN65HVD230","U6","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","C12084","","","","","","","","","",""
"LM2596S-5","U7","Package_TO_SOT_SMD:TO-263-5_TabPin3",""," C194349","","","","","","","","","",""
"RFM-0505S","U9,U11","Studienarbeit:RFM-0505S",""
"8MHz","Y1","Crystal:Crystal_HC49-4H_Vertical",""
