"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"32.768";"Crystal_SMD_2012-2Pin_2.0x1.2mm";1;"Crystal 144-1100 ";;;
2;"Y1";"Crystal_HC49-4H_Vertical";1;"8MHz";;;
3;"D3";"D_SMC";1;"MBRS540T3G";;;
4;"L1";"L_Wuerth_WE-PD-Typ-LS";1;"33u";;;
5;"C19";"C_Elec_8x6.2";1;"220u";;;
6;"Q6,Q5,Q4,Q3,Q2,Q1";"TO-220-3_Vertical";6;"IRF540NPBF";;;
7;"J14";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
8;"C18";"C_Elec_10x10.2";1;"680u";;;
9;"R10";"R_0805_2012Metric";1;"Bruecke";;;
10;"U9,U11";"RFM-0505S";2;"RFM-0505S";;;
11;"J4";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
12;"J13,J1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"Conn_01x02_Female";;;
13;"Opto3,Opto2,Opto6,Opto5,Opto4,Opto1";"VOM1271";6;"VOM1271";;;
14;"J12,J7,J11,J10,J9,J8,J3,J2";"PhoenixContact1755736";8;"1755736";;;
15;"D2,D1";"LED_0603_1608Metric";2;"LED";;;
16;"R27,R22";"R_0805_2012Metric";2;"3k";;;
17;"R3,R6,R11,R7,R5,R4,R2";"R_0805_2012Metric";7;"100";;;
18;"R8,R1";"R_0805_2012Metric";2;"1 k";;;
19;"R26,R21";"R_0805_2012Metric";2;"470";;;
20;"R25,R15";"R_0805_2012Metric";2;"2k";;;
21;"R24,R14";"R_0805_2012Metric";2;"1k 1%";;;
22;"R23,R13";"R_0805_2012Metric";2;"33k 1%";;;
23;"R20,R19,R17,R16";"R_0805_2012Metric";4;"2.49k 1%";;;
24;"R18";"R_0805_2012Metric";1;"10k";;;
25;"R12";"R_0805_2012Metric";1;"120";;;
26;"R9";"R_0805_2012Metric";1;"10 k";;;
27;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
28;"U10,U8";"ADuM3190ARQZ";2;"ADuM3190ARQZ";;;
29;"U7";"TO-263-5_TabPin3";1;"LM2596S-5";;;
30;"U6";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
31;"U5,U4";"SOIC-8_3.9x4.9mm_P1.27mm";2;"ACS712xLCTR-30A";;;
32;"U3";"SOT-23";1;"LM4040-2.5";;;
33;"U1";"SOT-23-5";1;"LD3985M33R_SOT23";;;
34;"SW1";"SW_SPST_B3S-1000";1;"SW_Push";;;
35;"J6,J5";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";2;"Conn_01x04_Female";;;
36;"C29,C28,C27,C26,C24,C23,C22,C21";"C_0805_2012Metric";8;"1u";;;
37;"C25,C20";"C_0805_2012Metric";2;"220n";;;
38;"C17,C16";"C_0805_2012Metric";2;"1 nF";;;
39;"C15,C14,C6,C5,C1";"C_0805_2012Metric";5;"100n";;;
40;"C13,C12,C9";"C_0805_2012Metric";3;"100nF";;;
41;"C11,C10";"C_0805_2012Metric";2;"20p";;;
42;"C8,C7";"C_0805_2012Metric";2;"100p";;;
43;"C4,C2";"C_0805_2012Metric";2;"10 u";;;
44;"C3";"C_0805_2012Metric";1;"10 n";;;
